,subj_idx,date,time,trialtype,cue,response,side,error,rt,reward,iti,sess,sex
1596,JK03,05-15,1904.312,S,2,0,L,0,1.9600000000000364,1.899999999999864,12.337999999999964,1,M
1597,JK03,05-15,1936.648,S,2,0,R,0,0.2880000000000109,1.4300000000000637,32.33600000000001,1,M
1598,JK03,05-15,1956.098,D,8,1,R,0,0.681999999999789,1.5080000000002656,19.450000000000045,1,M
1599,JK03,05-15,2149.644,D,8,1,L,0,0.3640000000000327,1.5799999999999272,19.031999999999694,1,M
1600,JK03,05-15,2356.906,D,8,1,R,0,1.7059999999996762,2.5579999999999927,16.177999999999884,1,M
1601,JK03,05-15,2368.392,S,8,1,R,0,1.61200000000008,1.5739999999996144,11.485999999999876,1,M
1602,JK03,05-15,2423.358,S,2,0,R,0,1.0820000000003347,1.707999999999629,9.8100000000004,1,M
1603,JK03,05-15,2438.088,S,2,0,R,0,0.4560000000001309,2.1920000000000077,14.730000000000018,1,M
1604,JK03,05-15,2446.462,S,2,0,R,0,0.3939999999997781,1.7400000000002365,8.373999999999796,1,M
1605,JK03,05-15,2748.346,D,8,1,R,0,0.5080000000002656,1.5419999999999163,16.179999999999836,1,M
1606,JK03,05-15,2770.556,D,8,1,L,0,1.72400000000016,2.0279999999997926,22.21000000000004,1,M
1607,JK03,05-15,2911.576,D,8,1,R,0,0.6299999999996544,2.0160000000000764,22.028000000000247,1,M
1608,JK03,05-15,3038.428,S,8,1,R,0,0.5760000000000218,1.5779999999999743,17.01800000000003,1,M
1609,JK03,05-15,3077.05,D,8,1,L,0,0.3079999999999927,2.483999999999924,38.6220000000003,1,M
1610,JK03,05-15,3085.444,D,2,0,R,0,0.4760000000001128,1.3679999999999382,8.393999999999778,1,M
1611,JK12,05-15,28.88,D,8,1,R,0,0.5499999999999972,2.288000000000004,28.878,1,M
1612,JK12,05-15,47.602,S,2,0,R,0,0.6399999999999935,2.3400000000000034,18.722,1,M
1613,JK12,05-15,55.624,S,2,0,L,0,0.5559999999999974,2.3059999999999974,8.022000000000006,1,M
1614,JK12,05-15,71.1,D,8,1,L,0,0.4200000000000017,2.8220000000000027,15.475999999999992,1,M
1615,JK12,05-15,79.348,S,8,1,L,0,0.617999999999995,2.1260000000000048,8.248000000000005,1,M
1616,JK12,05-15,92.226,D,8,1,L,0,0.4220000000000112,1.695999999999998,12.878,1,M
1617,JK12,05-15,103.866,D,2,0,R,0,0.7379999999999995,1.793999999999997,11.64,1,M
1618,JK12,05-15,114.282,S,2,0,L,0,0.3640000000000043,1.4920000000000044,10.415999999999997,1,M
1619,JK12,05-15,121.428,S,8,1,R,0,0.8179999999999978,1.676000000000002,7.146000000000001,1,M
1620,JK12,05-15,129.308,D,8,1,R,0,0.8859999999999957,2.8559999999999945,7.8799999999999955,1,M
1621,JK12,05-15,149.768,S,8,1,L,0,0.4980000000000188,1.739999999999981,20.460000000000008,1,M
1622,JK12,05-15,162.904,S,2,0,R,0,0.6839999999999975,1.5860000000000127,13.135999999999996,1,M
1623,JK12,05-15,173.998,S,2,0,R,0,0.5500000000000114,1.813999999999993,11.093999999999994,1,M
1624,JK12,05-15,178.842,S,8,1,L,0,0.3739999999999952,1.717999999999989,4.844000000000023,1,M
1625,JK12,05-15,185.888,S,2,0,L,0,0.5759999999999934,1.7160000000000082,7.045999999999992,1,M
1626,JK12,05-15,197.646,S,2,0,L,0,0.3799999999999954,1.6500000000000057,11.75799999999998,1,M
1627,JK12,05-15,204.028,D,8,1,R,0,1.0519999999999925,1.4780000000000086,6.382000000000005,1,M
1628,JK12,05-15,211.752,S,8,1,R,0,0.3760000000000048,3.943999999999989,7.724000000000018,1,M
1629,JK12,05-15,224.858,D,8,1,L,0,0.578000000000003,1.6779999999999973,13.105999999999996,1,M
1630,JK12,05-15,238.766,D,8,1,L,0,0.3520000000000038,1.5900000000000034,13.907999999999989,1,M
1631,JK12,05-15,251.102,S,8,1,R,0,0.7360000000000468,1.5539999999999736,12.336000000000013,1,M
1632,JK12,05-15,261.716,S,2,0,R,0,0.5679999999999836,1.8540000000000416,10.614000000000004,1,M
1633,JK12,05-15,278.006,S,2,0,R,0,0.3879999999999768,1.995999999999981,16.289999999999964,1,M
1634,JK12,05-15,284.628,D,8,1,L,0,0.5120000000000005,1.5699999999999932,6.622000000000014,1,M
1635,JK12,05-15,298.684,D,8,1,L,0,0.353999999999985,1.372000000000014,14.05600000000004,1,M
1636,JK12,05-15,302.662,D,2,0,R,0,0.4500000000000455,1.467999999999961,3.977999999999952,1,M
1637,JK12,05-15,315.594,S,2,0,R,0,0.8079999999999927,3.495999999999981,12.932000000000016,1,M
1638,JK12,05-15,326.604,S,8,1,R,0,0.4379999999999882,1.8760000000000328,11.009999999999993,1,M
1639,JK12,05-15,336.814,D,8,1,L,0,0.4499999999999886,1.608000000000004,10.210000000000036,1,M
1640,JK12,05-15,348.82,S,8,1,L,0,0.4239999999999781,1.6259999999999764,12.005999999999972,1,M
1641,JK12,05-15,361.08,D,2,0,R,0,0.2940000000000395,1.4979999999999905,12.259999999999993,1,M
1642,JK12,05-15,371.062,S,2,0,L,0,0.47199999999998,1.6340000000000146,9.982000000000028,1,M
1643,JK12,05-15,381.404,D,8,1,L,0,0.3400000000000318,1.5639999999999643,10.341999999999985,1,M
1644,JK12,05-15,391.212,D,8,1,R,0,0.4639999999999986,1.6659999999999968,9.807999999999993,1,M
1645,JK12,05-15,402.068,D,8,1,L,0,0.3340000000000032,1.6159999999999854,10.855999999999996,1,M
1646,JK12,05-15,412.98,S,8,1,R,0,0.6720000000000255,1.5819999999999936,10.912000000000036,1,M
1647,JK12,05-15,423.838,S,8,1,L,0,0.5720000000000027,1.6639999999999873,10.858000000000004,1,M
1648,JK12,05-15,434.336,S,8,1,R,0,1.3799999999999957,1.9979999999999905,10.49799999999999,1,M
1649,JK12,05-15,456.806,S,2,0,L,0,0.7560000000000286,1.5360000000000014,22.46999999999997,1,M
1650,JK12,05-15,465.684,S,2,0,R,0,0.3879999999999768,1.688000000000045,8.878000000000043,1,M
1651,JK12,05-15,473.888,S,2,0,R,0,0.6119999999999663,1.5559999999999832,8.20399999999995,1,M
1652,JK12,05-15,481.878,S,8,1,R,0,0.3919999999999959,1.966000000000008,7.990000000000009,1,M
1653,JK12,05-15,490.4,D,2,0,L,0,0.4800000000000182,1.6779999999999973,8.521999999999991,1,M
1654,JK12,05-15,499.086,S,2,0,L,0,0.3179999999999836,1.6159999999999854,8.686000000000035,1,M
1655,JK12,05-15,506.08,D,8,1,R,0,0.4120000000000345,1.5600000000000025,6.993999999999971,1,M
1656,JK12,05-15,514.458,S,8,1,L,0,0.3179999999999836,1.6680000000000064,8.377999999999986,1,M
1657,JK12,05-15,533.41,S,2,0,L,0,0.4180000000000063,1.6280000000000427,18.952,1,M
1658,JK12,05-15,539.122,D,8,1,L,0,0.4019999999999299,1.7900000000000773,5.711999999999989,1,M
1659,JK12,05-15,549.14,S,8,1,L,0,0.4039999999999963,1.7480000000000473,10.018000000000027,1,M
1660,JK12,05-15,558.958,D,8,1,R,0,0.636000000000081,1.405999999999949,9.817999999999984,1,M
1661,JK12,05-15,568.998,D,8,1,L,0,0.3740000000000236,1.5960000000000036,10.040000000000076,1,M
1662,JK12,05-15,579.45,D,8,1,L,0,0.4020000000000436,1.8519999999999757,10.451999999999998,1,M
1663,JK12,05-15,588.9,S,8,1,R,0,0.9880000000000564,1.4180000000000064,9.449999999999932,1,M
1664,JK12,05-15,599.126,D,8,1,L,0,0.3960000000000718,1.6299999999999957,10.226,1,M
1665,JK12,05-15,640.4,D,8,1,L,0,0.3680000000000518,1.5579999999999927,41.274,1,M
1666,JK12,05-15,649.512,D,2,0,L,0,0.6039999999999281,1.6920000000000073,9.111999999999966,1,M
1667,JK12,05-15,657.59,D,2,0,L,0,0.5240000000000009,1.6140000000000327,8.078000000000088,1,M
1668,JK12,05-15,663.276,D,8,1,R,0,0.3679999999999381,1.4940000000000282,5.685999999999922,1,M
1669,JK12,05-15,671.42,D,8,1,L,0,1.0639999999999643,1.740000000000009,8.144000000000005,1,M
1670,JK12,05-15,681.906,S,2,0,L,0,0.58400000000006,1.7839999999999918,10.48599999999999,1,M
1671,JK12,05-15,690.006,S,8,1,R,0,0.5099999999999909,1.6380000000000337,8.100000000000023,1,M
1672,JK12,05-15,722.216,S,2,0,R,0,1.2620000000000573,1.961999999999989,32.21000000000004,1,M
1673,JK12,05-15,728.904,S,8,1,L,0,0.4700000000000273,1.5260000000000673,6.687999999999988,1,M
1674,JK12,05-15,737.024,S,2,0,R,0,0.5059999999999718,2.5100000000001046,8.120000000000005,1,M
1675,JK12,05-15,747.048,S,8,1,L,0,0.3360000000000127,1.8319999999999936,10.024,1,M
1676,JK12,05-15,755.65,D,8,1,L,0,0.4260000000000445,2.6280000000000427,8.601999999999975,1,M
1677,JK12,05-15,765.75,S,8,1,L,0,0.3120000000000118,1.6320000000000618,10.100000000000025,1,M
1678,JK12,05-15,775.606,S,2,0,R,0,0.3120000000000118,1.6580000000000157,9.855999999999996,1,M
1679,JK12,05-15,785.976,D,8,1,R,0,0.4140000000001009,1.7919999999999163,10.370000000000005,1,M
1680,JK12,05-15,795.282,S,8,1,R,0,0.3880000000000336,1.7160000000000082,9.30600000000004,1,M
1681,JK12,05-15,804.612,D,8,1,L,0,0.5739999999999554,1.840000000000032,9.329999999999927,1,M
1682,JK12,05-15,814.212,S,8,1,L,0,0.3999999999999772,1.7899999999999636,9.600000000000025,1,M
1683,JK12,05-15,824.402,D,2,0,L,0,0.4259999999999309,1.7800000000000864,10.190000000000056,1,M
1684,JK12,05-15,834.346,D,8,1,R,0,0.2299999999999045,1.6820000000000164,9.94399999999996,1,M
1685,JK12,05-15,844.58,D,2,0,L,0,0.4139999999999872,1.937999999999988,10.234000000000036,1,M
1686,JK12,05-15,852.79,D,8,1,L,0,0.5399999999999636,1.6660000000000537,8.209999999999923,1,M
1687,JK12,05-15,860.202,S,2,0,L,0,0.405999999999949,1.7440000000000282,7.412000000000035,1,M
1688,JK12,05-15,868.786,S,8,1,R,0,0.3519999999999754,1.7019999999999982,8.583999999999946,1,M
1689,JK12,05-15,877.32,S,2,0,R,0,0.6859999999999218,1.9540000000000648,8.534000000000106,1,M
1690,JK12,05-15,886.784,S,2,0,R,0,0.5739999999999554,2.395999999999958,9.463999999999942,1,M
1691,JK12,05-15,895.634,D,2,0,L,0,0.4380000000001018,1.9519999999999984,8.850000000000023,1,M
1692,JK12,05-15,911.816,D,8,1,L,0,0.5559999999999263,1.9160000000000537,16.182000000000016,1,M
1693,JK12,05-15,919.324,S,2,0,L,0,0.8419999999999845,2.225999999999999,7.507999999999924,1,M
1694,JK12,05-15,928.1,D,8,1,L,0,0.4360000000000354,1.7859999999999443,8.776000000000067,1,M
1695,JK12,05-15,947.68,D,8,1,L,0,0.3619999999999663,1.75,19.579999999999927,1,M
1696,JK12,05-15,965.576,S,2,0,L,0,0.5260000000000673,2.419999999999959,17.896000000000072,1,M
1697,JK12,05-15,974.94,D,2,0,L,0,0.52800000000002,2.0779999999999745,9.364000000000033,1,M
1698,JK12,05-15,1027.642,S,8,1,L,0,0.4259999999999309,2.138000000000148,7.352000000000089,1,M
1699,JK12,05-15,1039.212,D,2,0,L,0,0.4900000000000091,2.618000000000165,11.569999999999936,1,M
1700,JK12,05-15,1049.238,D,2,0,L,0,0.3720000000000709,2.33400000000006,10.026000000000067,1,M
1701,JK12,05-15,1057.988,S,8,1,R,0,1.1860000000001492,1.821999999999889,8.75,1,M
1702,JK12,05-15,1066.552,S,2,0,L,0,0.4039999999999963,1.7760000000000673,8.56399999999985,1,M
1703,JK12,05-15,1075.802,D,8,1,R,0,1.5119999999999436,1.7840000000001055,9.25,1,M
1704,JK12,05-15,1084.738,S,2,0,R,0,0.4900000000000091,2.950000000000045,8.93600000000015,1,M
1705,JK12,05-15,1094.528,S,2,0,R,0,0.4320000000000163,1.905999999999949,9.789999999999964,1,M
1706,JK12,05-15,1102.436,D,8,1,L,0,0.3700000000001182,2.435999999999922,7.907999999999902,1,M
1707,JK12,05-15,1111.926,S,2,0,R,0,0.3859999999999672,2.240000000000009,9.490000000000007,1,M
1708,JK12,05-15,1350.034,S,2,0,R,0,1.178000000000111,2.19399999999996,29.226000000000116,1,M
1709,JK12,05-15,1371.84,S,8,1,L,0,0.3360000000000127,1.755999999999858,21.805999999999813,1,M
1710,JK12,05-15,1394.966,D,2,0,R,0,0.4539999999999509,1.8360000000000127,23.125999999999976,1,M
1711,JK12,05-15,1405.726,S,2,0,R,0,0.9179999999998928,3.178000000000111,10.760000000000218,1,M
1712,JK12,05-15,1416.076,S,8,1,R,0,0.6100000000001273,2.3279999999999745,10.349999999999907,1,M
1713,JK12,05-15,1427.404,D,2,0,L,0,0.4880000000000564,2.4320000000000164,11.327999999999976,1,M
1714,JK12,05-15,1438.174,S,2,0,R,0,0.5260000000000673,2.430000000000064,10.769999999999982,1,M
1715,JK12,05-15,1447.932,S,8,1,L,0,0.2940000000000964,2.30600000000004,9.758000000000038,1,M
1716,JK12,05-15,1458.972,D,8,1,R,0,0.321999999999889,2.622000000000071,11.039999999999964,1,M
1717,JK12,05-15,1540.612,S,8,1,L,0,0.4259999999999309,2.652000000000044,12.678000000000113,1,M
1718,JK12,05-15,1560.164,D,8,1,L,0,0.4979999999998199,2.4700000000000277,19.551999999999907,1,M
1719,JK12,05-15,1572.898,S,8,1,R,0,0.9200000000000728,2.117999999999938,12.733999999999924,1,M
1720,JK12,05-15,1586.658,S,2,0,L,0,1.8699999999998909,2.538000000000011,13.759999999999993,1,M
1721,JK12,05-15,1607.698,S,2,0,R,0,0.5579999999999927,1.8260000000000216,21.04000000000019,1,M
1722,JK12,05-15,1771.46,S,2,0,R,0,0.8759999999999764,2.344000000000051,13.251999999999953,1,M
1723,JK12,05-15,1785.522,D,2,0,L,0,0.3780000000001564,2.394000000000005,14.061999999999898,1,M
1724,JK12,05-15,1982.648,D,2,0,L,0,0.3400000000001455,2.571999999999889,10.875999999999976,1,M
1725,JK12,05-15,2355.496,D,8,1,L,0,0.6900000000000546,2.644000000000233,15.35400000000027,1,M
1726,JK12,05-15,2380.938,S,8,1,L,0,0.4220000000000254,2.6359999999999677,25.442000000000007,1,M
1727,JK12,05-15,2459.294,S,2,0,R,0,0.6039999999998145,2.488000000000284,33.059999999999945,1,M
1728,JK12,05-15,2490.728,D,2,0,L,0,0.6119999999996253,2.5100000000002183,31.4340000000002,1,M
1729,JK12,05-15,2521.04,D,8,1,R,0,0.9059999999999492,2.4900000000002365,30.311999999999895,1,M
1730,JK12,05-15,2535.674,D,8,1,L,0,0.375999999999749,2.3520000000003165,14.634000000000016,1,M
1731,JK12,05-15,2548.592,D,2,0,L,0,0.4320000000002437,2.731999999999971,12.91800000000012,1,M
1732,JK12,05-15,2651.098,S,8,1,L,0,0.6219999999998436,3.0219999999999345,22.059999999999945,1,M
1733,JK12,05-15,2838.986,S,2,0,R,0,1.7260000000001128,2.961999999999989,12.192000000000007,1,M
1734,JK12,05-15,2857.864,S,2,0,R,0,0.4259999999999309,3.369999999999891,18.87800000000016,1,M
1735,JK12,05-15,3316.082,S,2,0,R,0,0.4499999999998181,2.538000000000011,19.38400000000001,1,M
1736,JK03,05-16,0.002,D,2,0,L,0,0.6799999999999997,4.974,-3316.08,2,M
1737,JK03,05-16,74.508,S,8,1,R,0,1.4799999999999898,3.004000000000005,19.023999999999997,2,M
1738,JK03,05-16,306.18,S,2,0,L,0,0.6440000000000055,2.491999999999962,11.336000000000013,2,M
1739,JK03,05-16,316.878,S,2,0,R,0,0.9780000000000086,2.20799999999997,10.69799999999998,2,M
1740,JK03,05-16,330.952,D,8,1,L,0,0.4780000000000086,2.98599999999999,14.074000000000012,2,M
1741,JK03,05-16,342.534,D,8,1,L,0,1.1580000000000157,2.963999999999998,11.581999999999994,2,M
1742,JK03,05-16,353.048,S,8,1,R,0,0.5080000000000382,2.3859999999999677,10.51400000000001,2,M
1743,JK03,05-16,369.498,D,8,1,L,0,0.8280000000000314,1.9800000000000184,16.44999999999999,2,M
1744,JK03,05-16,380.59,S,2,0,R,0,1.2860000000000014,2.274000000000001,11.091999999999985,2,M
1745,JK03,05-16,391.844,S,8,1,R,0,1.1299999999999957,2.5920000000000414,11.25400000000002,2,M
1746,JK03,05-16,401.208,S,2,0,R,0,0.7700000000000387,1.975999999999999,9.364000000000033,2,M
1747,JK03,05-16,411.138,S,2,0,R,0,0.7819999999999823,2.3240000000000123,9.92999999999995,2,M
